13950101,Sunday,1
13950102,Monday,1
13950103,Tuesday,1
13950104,Wednesday,1
13950105,Thursday,1
13950106,Friday,1
13950107,Saturday,0
13950108,Sunday,0
13950109,Monday,0
13950110,Tuesday,0
13950111,Wednesday,0
13950112,Thursday,1
13950113,Friday,1
13950114,Saturday,0
13950115,Sunday,0
13950116,Monday,0
13950117,Tuesday,0
13950118,Wednesday,0
13950119,Thursday,1
13950120,Friday,1
13950121,Saturday,0
13950122,Sunday,0
13950123,Monday,0
13950124,Tuesday,0
13950125,Wednesday,0
13950126,Thursday,1
13950127,Friday,1
13950128,Saturday,0
13950129,Sunday,0
13950130,Monday,0
13950131,Tuesday,0
13950201,Wednesday,0
13950202,Thursday,1
13950203,Friday,1
13950204,Saturday,0
13950205,Sunday,0
13950206,Monday,0
13950207,Tuesday,0
13950208,Wednesday,0
13950209,Thursday,1
13950210,Friday,1
13950211,Saturday,0
13950212,Sunday,0
13950213,Monday,0
13950214,Tuesday,0
13950215,Wednesday,0
13950216,Thursday,1
13950217,Friday,1
13950218,Saturday,0
13950219,Sunday,0
13950220,Monday,0
13950221,Tuesday,0
13950222,Wednesday,0
13950223,Thursday,1
13950224,Friday,1
13950225,Saturday,0
13950226,Sunday,0
13950227,Monday,0
13950228,Tuesday,0
13950229,Wednesday,0
13950230,Thursday,1
13950231,Friday,1
13950301,Saturday,0
13950302,Sunday,1
13950303,Monday,0
13950304,Tuesday,0
13950305,Wednesday,0
13950306,Thursday,1
13950307,Friday,1
13950308,Saturday,0
13950309,Sunday,0
13950310,Monday,0
13950311,Tuesday,0
13950312,Wednesday,0
13950313,Thursday,1
13950314,Friday,1
13950315,Saturday,1
13950316,Sunday,0
13950317,Monday,0
13950318,Tuesday,0
13950319,Wednesday,0
13950320,Thursday,1
13950321,Friday,1
13950322,Saturday,0
13950323,Sunday,0
13950324,Monday,0
13950325,Tuesday,0
13950326,Wednesday,0
13950327,Thursday,1
13950328,Friday,1
13950329,Saturday,0
13950330,Sunday,0
13950331,Monday,0
13950401,Tuesday,0
13950402,Wednesday,0
13950403,Thursday,1
13950404,Friday,1
13950405,Saturday,0
13950406,Sunday,1
13950407,Monday,0
13950408,Tuesday,0
13950409,Wednesday,0
13950410,Thursday,1
13950411,Friday,1
13950412,Saturday,0
13950413,Sunday,0
13950414,Monday,0
13950415,Tuesday,0
13950416,Wednesday,1
13950417,Thursday,1
13950418,Friday,1
13950419,Saturday,0
13950420,Sunday,0
13950421,Monday,0
13950422,Tuesday,0
