SHAHR,Median1395,Median1396,Median1397,Median1398,Median1399,Median1400,Median1401,Median1402,Median1403
زنجان,0.50,0.27,0.22,0.00,0.53,-0.12,-0.06,0.13,0.33
هرسین,-0.04,-0.13,-0.01,0.01,-0.06,0.16,0.13,0.07,0.15
شهرکرد,0.27,0.20,-0.13,0.23,0.35,0.23,0.37,0.41,0.30
بانه,0.29,0.36,0.04,0.32,-0.02,0.60,-0.05,0.38,-0.14
ایرانشهر,-0.14,0.17,-0.12,0.07,0.28,0.51,0.48,0.41,0.59
سرخه,0.19,-0.05,0.00,0.15,0.04,-0.15,0.11,0.41,0.01
تفت,0.20,0.27,0.21,0.09,-0.15,0.67,0.23,-0.01,0.14
قزانچی,0.31,0.53,0.33,0.64,0.51,0.51,-0.15,0.55,0.52
بروجرد,0.01,-0.16,0.29,0.09,0.10,0.26,0.55,0.40,0.51
ابهر,0.24,0.22,0.25,-0.17,0.09,0.28,-0.11,0.15,-0.14
خزرآباد,0.26,0.27,-0.18,-0.07,0.20,0.02,0.05,-0.08,0.14
گناباد,0.15,0.32,0.12,0.17,-0.18,-0.09,0.20,0.81,0.29
مهریز,0.29,0.07,-0.14,-0.18,-0.11,0.16,0.13,0.52,-0.09
آشخانه,0.10,0.04,0.11,-0.05,0.39,0.85,-0.19,0.14,0.01
انارک,-0.19,-0.08,0.33,0.16,1.15,0.79,0.05,-0.05,0.72
کوار,-0.20,0.18,0.20,0.32,0.61,0.46,0.21,0.26,-0.05
فریدونکنار,0.22,0.20,0.52,-0.06,0.39,0.42,-0.20,0.57,0.56
کوچصفهان,0.37,0.46,0.29,0.14,0.14,0.47,0.14,-0.21,-0.06
زاهدان,0.07,-0.21,0.11,0.15,0.42,0.28,0.28,-0.16,0.22
جهرم,0.46,0.43,-0.06,0.05,-0.21,-0.18,-0.07,-0.04,0.07
کامیاران,0.02,-0.07,0.22,-0.22,-0.04,-0.10,-0.08,-0.12,0.42
نیشابور,0.29,0.10,0.22,-0.01,-0.08,-0.20,-0.06,-0.22,0.05
بهار,-0.23,0.66,0.53,0.72,0.80,0.68,0.67,0.75,0.68
صحنه,0.17,-0.14,0.15,-0.21,-0.23,0.44,0.38,0.88,0.57
صالحآباد,-0.23,-0.10,0.14,0.20,0.19,0.29,0.18,0.33,0.55
سورمق,0.39,0.45,0.04,0.31,0.11,0.47,0.20,0.53,-0.24
دلیجان,0.22,-0.24,-0.01,0.30,0.09,0.08,0.16,0.17,0.55
دامغان,-0.20,-0.25,-0.10,0.14,0.21,0.02,0.64,0.05,0.37
ایوانکی,-0.25,0.15,0.13,0.02,0.02,0.13,0.16,0.15,-0.13
خرمدره,0.03,-0.25,0.06,0.51,0.27,0.05,0.18,0.12,0.01
ملایر,0.11,-0.25,0.36,0.52,0.52,0.46,0.20,0.54,0.74
نوشهر,-0.01,0.46,0.78,0.67,0.62,0.10,0.08,-0.25,-0.07
شریفآباد,0.34,0.28,0.33,0.02,0.37,-0.26,-0.03,-0.09,-0.11
سرابله,-0.26,0.16,0.24,0.27,0.93,0.28,0.14,0.19,0.18
اسکلآباد,0.09,0.07,0.52,0.42,0.27,-0.25,0.14,-0.27,0.12
چالانچولان,-0.27,0.35,-0.15,0.22,-0.02,0.20,0.06,0.02,-0.05
باغچه,-0.02,-0.03,-0.12,-0.28,0.31,0.01,-0.03,-0.01,-0.05
کردکوی,0.29,-0.29,0.31,0.00,-0.11,0.17,0.14,-0.14,0.19
سلماس,0.16,0.05,0.21,-0.30,-0.15,-0.05,-0.09,0.34,0.51
فیروزآباد,-0.20,0.19,0.04,0.05,0.22,-0.30,0.06,0.08,0.04
الیگودرز,-0.30,-0.05,0.78,-0.04,0.43,0.05,0.58,0.06,0.27
موچش,0.03,-0.31,0.30,0.46,0.35,0.43,0.09,0.51,0.28
بروجن,0.12,0.13,0.13,-0.06,0.19,0.03,-0.31,-0.30,0.23
بوشهر,-0.07,-0.03,-0.05,-0.10,-0.26,-0.21,-0.25,-0.31,-0.21
بابلسر,0.05,0.12,0.14,0.36,-0.31,-0.12,-0.02,-0.29,0.78
خواجه,-0.32,-0.01,0.21,0.17,-0.04,0.06,0.24,0.77,0.78
ساوه,-0.21,-0.32,0.13,0.12,-0.07,-0.30,-0.07,0.07,-0.15
عسلویه,0.27,-0.17,-0.33,-0.09,0.26,0.25,0.33,0.28,0.32
بیستون,0.07,0.22,-0.04,0.35,0.29,-0.09,0.31,0.21,-0.34
نیر,0.93,1.05,0.41,0.77,0.62,-0.24,0.45,-0.34,-0.04
انزلی,0.27,-0.34,0.18,0.36,0.28,0.31,0.36,0.53,0.66
قروه,-0.34,-0.12,-0.08,-0.01,1.24,0.05,0.11,0.22,0.74
تهران,-0.26,-0.27,-0.07,-0.15,-0.26,-0.26,-0.35,-0.35,-0.26
تیران,0.44,0.28,0.33,0.57,-0.35,0.07,-0.24,-0.20,0.24
گچساران,-0.35,-0.13,0.32,0.54,0.52,0.14,0.18,-0.14,0.07
مرند,0.18,-0.36,0.18,-0.19,0.03,-0.11,0.12,0.21,0.15
خمام,0.04,0.45,0.28,0.71,0.08,0.22,0.13,-0.25,-0.36
عقدا,0.18,0.48,-0.36,0.06,-0.06,0.20,-0.09,-0.26,0.45
ساری,-0.36,-0.28,-0.34,-0.22,-0.27,-0.31,-0.02,-0.05,-0.15
شهریار,-0.32,-0.36,-0.35,-0.35,-0.09,-0.26,-0.33,0.05,0.02
مراغه,0.34,-0.37,0.07,-0.15,-0.09,-0.04,-0.01,0.05,-0.01
صفادشت,0.20,-0.20,-0.37,0.09,0.70,0.46,0.57,0.46,0.55
سروستان,0.07,-0.37,0.03,0.32,0.34,0.20,0.11,-0.04,0.05
پلدختر,-0.23,-0.16,0.48,-0.13,-0.37,-0.07,-0.00,-0.14,-0.04
سلفچگان,0.25,0.22,-0.17,-0.18,-0.31,-0.10,-0.38,0.15,0.10
ارسنجان,0.00,0.01,-0.24,-0.22,-0.34,-0.31,-0.38,-0.39,-0.34
آبادان,0.55,0.03,-0.15,0.06,-0.39,0.39,0.32,-0.25,0.30
بناب,0.03,-0.13,-0.28,0.16,-0.02,-0.37,-0.39,-0.12,0.02
آباده,-0.16,-0.04,-0.11,-0.40,-0.00,-0.33,0.39,-0.03,0.17
صفاشهر,-0.20,-0.02,0.03,-0.19,-0.00,0.08,-0.40,0.31,0.47
جم,-0.15,-0.24,-0.20,-0.34,-0.30,-0.18,-0.41,-0.35,-0.23
بهشهر,0.20,-0.01,-0.25,0.16,-0.41,0.04,-0.11,0.08,0.01
