Code-mehvar,Name-Mehvar,Ostan,origin,destination,orgin_en,destination_en,filename
973953,شاهرود - آزادشهر (خوش ييلاق),97 Golestan,شاهرود,آزادشهر,ShAHRVD,AZADShHR,Daily 973953 شاهرود - آزادشهر (خوش ييلاق)
973954,جنگل گلستان - تنگراه,97 Golestan,جنگلگلستان,تنگراه,JNGLGLSTAN,TNGRAH,Daily 973954 جنگل گلستان - تنگراه
974201,سه‌راهي کلاله - تنگراه,97 Golestan,کلاله,تنگراه,KLALH,TNGRAH,Daily 974201 سه‌راهي کلاله - تنگراه
974202,کلاله - مراوه تپه,97 Golestan,کلاله,مراوهتپه,KLALH,MRAVHTPH,Daily 974202 کلاله - مراوه تپه
974203,کلاله - سه راهي کلاله,97 Golestan,کلاله,کلاله,KLALH,KLALH,Daily 974203 کلاله - سه راهي کلاله
974251,تنگراه - سه‌راهي کلاله,97 Golestan,تنگراه,کلاله,TNGRAH,KLALH,Daily 974251 تنگراه - سه‌راهي کلاله
974252,مراوه تپه - کلاله,97 Golestan,مراوهتپه,کلاله,MRAVHTPH,KLALH,Daily 974252 مراوه تپه - کلاله
974253,سه راهي کلاله - کلاله,97 Golestan,کلاله,کلاله,KLALH,KLALH,Daily 974253 سه راهي کلاله - کلاله
113303,آدران - شهريار,11 Tehran,آدران,شهریار,ADRAN,ShHRIAR,Daily 113303 آدران - شهريار
143101,جاده قديم قم - کاشان (سه‌راه لنگرود - تقاطع آزادراه),14 Qom,قم,کاشان,GhM,KAShAN,Daily 143101 جاده قديم قم - کاشان (سه‌راه لنگرود - تقاطع آزادراه)
143103,جاده قديم ساوه - سلفچگان (سه‌راه تفرش - سلفچگان),14 Qom,ساوه,سلفچگان,SAVH,SLFChGAN,Daily 143103 جاده قديم ساوه - سلفچگان (سه‌راه تفرش - سلفچگان)
143109,آزادراه سلفچگان - ساوه (سلفچگان - جاده تفرش),14 Qom,سلفچگان,ساوه,SLFChGAN,SAVH,Daily 143109 آزادراه سلفچگان - ساوه (سلفچگان - جاده تفرش)
143118,قم - سلفچگان,14 Qom,قم,سلفچگان,GhM,SLFChGAN,Daily 143118 قم - سلفچگان
143119,جمکران - پل جاده کاشان,14 Qom,جمکران,کاشان,JMKRAN,KAShAN,Daily 143119 جمکران - پل جاده کاشان
143151,جاده قديم کاشان - قم (تقاطع آزادراه - سه‌راه لنگرود),14 Qom,کاشان,قم,KAShAN,GhM,Daily 143151 جاده قديم کاشان - قم (تقاطع آزادراه - سه‌راه لنگرود)
143153,جاده قديم سلفچگان - ساوه (سلفچگان - سه‌راه تفرش),14 Qom,سلفچگان,ساوه,SLFChGAN,SAVH,Daily 143153 جاده قديم سلفچگان - ساوه (سلفچگان - سه‌راه تفرش)
