SHAHR,MedianFarvardin,MedianOrdibehesht,MedianKhordad,MedianTir,MedianMordad,MedianShahrivar,MedianMehr,MedianAban,MedianAzar,MedianDay,MedianBahman,MedianEsfand
جم,-0.19,-0.21,-0.42,-0.02,-0.55,-0.23,-0.25,-0.28,-0.23,-0.26,-0.40,-0.14
ارومیه,-0.51,-0.23,0.27,-0.21,-0.06,-0.56,0.08,-0.24,-0.15,-0.32,-0.34,-0.00
بجنورد,-0.49,-0.39,-0.18,-0.28,-0.39,-0.42,-0.34,-0.56,0.04,-0.42,-0.31,-0.08
قم,-0.56,0.95,0.82,0.11,0.94,0.59,0.36,0.90,0.70,0.66,0.48,0.54
سبزوار,-0.59,-0.40,-0.47,-0.34,-0.30,-0.56,-0.21,-0.36,-0.41,-0.21,-0.57,-0.13
سیرجان,-0.35,-0.65,-0.24,-0.31,-0.41,-0.64,-0.44,-0.33,-0.42,-0.22,-0.48,-0.31
یاسوج,-0.22,-0.42,-0.27,-0.16,0.02,-0.10,-0.52,-0.41,-0.47,-0.65,-0.64,-0.33
بیرجند,-0.48,-0.65,-0.64,-0.68,-0.65,-0.65,-0.24,-0.60,-0.43,-0.56,-0.54,-0.36
مرند,0.54,-0.07,0.03,0.39,0.26,0.16,0.05,0.12,0.14,-0.68,0.04,-0.29
کرمانشاه,-0.33,-0.54,-0.31,-0.69,-0.36,-0.28,-0.39,-0.02,-0.27,-0.57,0.07,0.17
شیراز,-0.32,-0.28,-0.24,-0.35,-0.43,-0.45,-0.70,-0.41,-0.27,-0.22,-0.02,-0.12
اصفهان,-0.34,-0.71,-0.44,-0.47,-0.63,-0.58,-0.47,-0.68,-0.51,-0.40,-0.66,-0.65
ساری,0.19,-0.17,-0.14,-0.54,-0.72,-0.07,-0.13,-0.25,0.32,-0.38,-0.04,-0.05
کرمان,-0.73,-0.65,-0.22,-0.36,-0.34,-0.76,-0.49,-0.31,-0.59,-0.25,-0.45,-0.64
آبادان,-0.16,-0.04,0.46,-0.76,-0.27,-0.02,0.09,-0.25,0.16,-0.06,0.45,0.51
اندیمشک,-0.64,-0.01,-0.09,-0.43,-0.78,-0.33,-0.29,-0.16,-0.23,0.21,0.06,-0.57
سلفچگان,-0.20,0.11,-0.78,-0.19,-0.27,-0.16,-0.80,0.21,0.03,-0.12,0.00,0.50
شهرضا,0.33,0.81,0.59,0.20,0.40,0.39,-0.81,0.31,0.57,0.38,-0.11,0.49
بندرعباس,-0.05,-0.68,-0.83,-0.57,-0.54,-0.46,-0.19,0.04,0.12,0.00,0.20,-0.55
کنگاور,0.78,0.02,-0.88,0.17,0.26,-0.30,0.02,0.14,-0.81,-0.11,0.05,-0.02
برازجان,-0.89,0.22,-0.22,-0.60,-0.45,-0.52,-0.00,0.08,0.47,0.08,0.26,0.27
سنندج,-0.44,-0.50,-0.40,-0.59,-0.50,-0.55,-0.60,-0.25,-0.42,-0.66,-0.91,-0.28
یزد,-0.49,-0.67,-0.86,-0.92,-0.71,-0.56,-0.29,-0.43,-0.27,-0.32,-0.46,-0.48
ورجان,0.05,-0.03,-0.22,-0.29,-0.40,-0.45,-0.08,-0.49,-0.36,-0.28,-0.92,-0.69
شاهرود,0.23,-0.63,-0.16,-0.36,-0.55,-0.60,-0.44,-0.92,-0.72,-0.71,0.01,-0.03
کاشان,0.40,0.53,-0.38,0.19,-0.93,0.26,0.13,-0.03,0.07,0.51,0.44,1.72
اهواز,-0.18,-0.01,-0.72,-1.04,-0.49,-0.21,-0.57,-0.53,-0.59,-0.31,-0.22,-0.35
ماهدشت,0.02,0.01,-0.19,0.48,-1.05,-0.84,-0.31,-0.64,0.02,0.47,-0.50,-0.16
کرج,-0.98,-0.86,-1.08,-1.27,-0.97,-1.05,-0.83,-0.65,-0.69,-0.66,-0.45,-0.79
سمنان,0.11,-0.23,-1.28,-0.24,-0.30,-0.94,-0.61,-0.60,-0.53,-0.48,-0.18,-0.65
قزوین,-0.27,-0.94,-1.38,-1.23,-0.45,-0.92,-0.17,-1.05,-0.17,-0.69,-0.86,-0.02
دماوند,-0.78,-0.56,-1.45,-1.24,-1.40,-1.14,-1.14,-1.18,-0.93,-1.05,-0.85,-0.42
رودهن,-0.73,-1.45,-1.55,-1.59,-1.85,-1.76,-1.41,-1.82,-1.85,-1.29,-1.15,-1.12
